URI,a,b,NAME,c
"http://id.loc.gov/vocabulary/iso639-2/kau","","kr","Kanuri","kanouri"
"http://id.loc.gov/vocabulary/iso639-2/kaw","","","Kawi","kawi"
"http://id.loc.gov/vocabulary/iso639-2/kaz","","kk","Kazakh","kazakh"
"http://id.loc.gov/vocabulary/iso639-2/kbd","","","Kabardian","kabardien"
"http://id.loc.gov/vocabulary/iso639-2/kha","","","Khasi","khasi"
"http://id.loc.gov/vocabulary/iso639-2/khi","","","Khoisan languages","khoïsan, langues"
"http://id.loc.gov/vocabulary/iso639-2/khm","","km","Central Khmer","khmer central"
"http://id.loc.gov/vocabulary/iso639-2/kho","","","Khotanese; Sakan","khotanais; sakan"
"http://id.loc.gov/vocabulary/iso639-2/kik","","ki","Kikuyu; Gikuyu","kikuyu"
"http://id.loc.gov/vocabulary/iso639-2/kin","","rw","Kinyarwanda","rwanda"
"http://id.loc.gov/vocabulary/iso639-2/kir","","ky","Kirghiz; Kyrgyz","kirghiz"
"http://id.loc.gov/vocabulary/iso639-2/kmb","","","Kimbundu","kimbundu"
"http://id.loc.gov/vocabulary/iso639-2/kok","","","Konkani","konkani"
"http://id.loc.gov/vocabulary/iso639-2/kom","","kv","Komi","kom"
"http://id.loc.gov/vocabulary/iso639-2/kon","","kg","Kongo","kongo"
"http://id.loc.gov/vocabulary/iso639-2/kor","","ko","Korean","coréen"
"http://id.loc.gov/vocabulary/iso639-2/kos","","","Kosraean","kosrae"
"http://id.loc.gov/vocabulary/iso639-2/kpe","","","Kpelle","kpellé"
"http://id.loc.gov/vocabulary/iso639-2/krc","","","Karachay-Balkar","karatchai balkar"
"http://id.loc.gov/vocabulary/iso639-2/krl","","","Karelian","carélien"
"http://id.loc.gov/vocabulary/iso639-2/kro","","","Kru languages","krou, langues"
"http://id.loc.gov/vocabulary/iso639-2/kru","","","Kurukh","kurukh"
"http://id.loc.gov/vocabulary/iso639-2/kua","","kj","Kuanyama; Kwanyama","kuanyama; kwanyama"
"http://id.loc.gov/vocabulary/iso639-2/kum","","","Kumyk","koumyk"
"http://id.loc.gov/vocabulary/iso639-2/kur","","ku","Kurdish","kurde"
"http://id.loc.gov/vocabulary/iso639-2/kut","","","Kutenai","kutenai"
"http://id.loc.gov/vocabulary/iso639-2/lad","","","Ladino","judéo-espagnol"
"http://id.loc.gov/vocabulary/iso639-2/lah","","","Lahnda","lahnda"
"http://id.loc.gov/vocabulary/iso639-2/lam","","","Lamba","lamba"
"http://id.loc.gov/vocabulary/iso639-2/lao","","lo","Lao","lao"
"http://id.loc.gov/vocabulary/iso639-2/lat","","la","Latin","latin"
"http://id.loc.gov/vocabulary/iso639-2/lav","","lv","Latvian","letton"
"http://id.loc.gov/vocabulary/iso639-2/lez","","","Lezghian","lezghien"
"http://id.loc.gov/vocabulary/iso639-2/lim","","li","Limburgan; Limburger; Limburgish","limbourgeois"
"http://id.loc.gov/vocabulary/iso639-2/lin","","ln","Lingala","lingala"
"http://id.loc.gov/vocabulary/iso639-2/lit","","lt","Lithuanian","lituanien"
"http://id.loc.gov/vocabulary/iso639-2/lol","","","Mongo","mongo"
"http://id.loc.gov/vocabulary/iso639-2/loz","","","Lozi","lozi"
"http://id.loc.gov/vocabulary/iso639-2/ltz","","lb","Luxembourgish; Letzeburgesch","luxembourgeois"
"http://id.loc.gov/vocabulary/iso639-2/lua","","","Luba-Lulua","luba-lulua"
"http://id.loc.gov/vocabulary/iso639-2/lub","","lu","Luba-Katanga","luba-katanga"
"http://id.loc.gov/vocabulary/iso639-2/lug","","lg","Ganda","ganda"
"http://id.loc.gov/vocabulary/iso639-2/lui","","","Luiseno","luiseno"
"http://id.loc.gov/vocabulary/iso639-2/lun","","","Lunda","lunda"
"http://id.loc.gov/vocabulary/iso639-2/luo","","","Luo (Kenya and Tanzania)","luo (Kenya et Tanzanie)"
"http://id.loc.gov/vocabulary/iso639-2/lus","","","Lushai","lushai"
"http://id.loc.gov/vocabulary/iso639-2/mac","mkd","mk","Macedonian","macédonien"
"http://id.loc.gov/vocabulary/iso639-2/mad","","","Madurese","madourais"
"http://id.loc.gov/vocabulary/iso639-2/mag","","","Magahi","magahi"
"http://id.loc.gov/vocabulary/iso639-2/mah","","mh","Marshallese","marshall"
"http://id.loc.gov/vocabulary/iso639-2/mai","","","Maithili","maithili"
"http://id.loc.gov/vocabulary/iso639-2/mak","","","Makasar","makassar"
"http://id.loc.gov/vocabulary/iso639-2/mal","","ml","Malayalam","malayalam"
"http://id.loc.gov/vocabulary/iso639-2/man","","","Mandingo","mandingue"
"http://id.loc.gov/vocabulary/iso639-2/mao","mri","mi","Maori","maori"
"http://id.loc.gov/vocabulary/iso639-2/map","","","Austronesian languages","austronésiennes, langues"
"http://id.loc.gov/vocabulary/iso639-2/mar","","mr","Marathi","marathe"
"http://id.loc.gov/vocabulary/iso639-2/mas","","","Masai","massaï"
"http://id.loc.gov/vocabulary/iso639-2/may","msa","ms","Malay","malais"
"http://id.loc.gov/vocabulary/iso639-2/mdf","","","Moksha","moksa"
"http://id.loc.gov/vocabulary/iso639-2/mdr","","","Mandar","mandar"
"http://id.loc.gov/vocabulary/iso639-2/men","","","Mende","mendé"
"http://id.loc.gov/vocabulary/iso639-2/mga","","","Irish, Middle (900-1200)","irlandais moyen (900-1200)"
"http://id.loc.gov/vocabulary/iso639-2/mic","","","Mi'kmaq; Micmac","mi'kmaq; micmac"
"http://id.loc.gov/vocabulary/iso639-2/min","","","Minangkabau","minangkabau"
"http://id.loc.gov/vocabulary/iso639-2/mis","","","Uncoded languages","langues non codées"
"http://id.loc.gov/vocabulary/iso639-2/mkh","","","Mon-Khmer languages","môn-khmer, langues"
"http://id.loc.gov/vocabulary/iso639-2/mlg","","mg","Malagasy","malgache"
"http://id.loc.gov/vocabulary/iso639-2/mlt","","mt","Maltese","maltais"
"http://id.loc.gov/vocabulary/iso639-2/mnc","","","Manchu","mandchou"
"http://id.loc.gov/vocabulary/iso639-2/mni","","","Manipuri","manipuri"
"http://id.loc.gov/vocabulary/iso639-2/mno","","","Manobo languages","manobo, langues"
"http://id.loc.gov/vocabulary/iso639-2/moh","","","Mohawk","mohawk"
"http://id.loc.gov/vocabulary/iso639-2/mon","","mn","Mongolian","mongol"
"http://id.loc.gov/vocabulary/iso639-2/mos","","","Mossi","moré"
"http://id.loc.gov/vocabulary/iso639-2/mul","","","Multiple languages","multilingue"
"http://id.loc.gov/vocabulary/iso639-2/mun","","","Munda languages","mounda, langues"
"http://id.loc.gov/vocabulary/iso639-2/mus","","","Creek","muskogee"
"http://id.loc.gov/vocabulary/iso639-2/mwl","","","Mirandese","mirandais"
"http://id.loc.gov/vocabulary/iso639-2/mwr","","","Marwari","marvari"
"http://id.loc.gov/vocabulary/iso639-2/myn","","","Mayan languages","maya, langues"
"http://id.loc.gov/vocabulary/iso639-2/myv","","","Erzya","erza"
"http://id.loc.gov/vocabulary/iso639-2/nah","","","Nahuatl languages","nahuatl, langues"
"http://id.loc.gov/vocabulary/iso639-2/nai","","","North American Indian languages","nord-amérindiennes, langues"
"http://id.loc.gov/vocabulary/iso639-2/nap","","","Neapolitan","napolitain"
"http://id.loc.gov/vocabulary/iso639-2/nau","","na","Nauru","nauruan"
"http://id.loc.gov/vocabulary/iso639-2/nav","","nv","Navajo; Navaho","navaho"
"http://id.loc.gov/vocabulary/iso639-2/nbl","","nr","Ndebele, South; South Ndebele","ndébélé du Sud"
"http://id.loc.gov/vocabulary/iso639-2/nde","","nd","Ndebele, North; North Ndebele","ndébélé du Nord"
"http://id.loc.gov/vocabulary/iso639-2/ndo","","ng","Ndonga","ndonga"
"http://id.loc.gov/vocabulary/iso639-2/nds","","","Low German; Low Saxon; German, Low; Saxon, Low","bas allemand; bas saxon; allemand, bas; saxon, bas"
"http://id.loc.gov/vocabulary/iso639-2/nep","","ne","Nepali","népalais"
"http://id.loc.gov/vocabulary/iso639-2/new","","","Nepal Bhasa; Newari","nepal bhasa; newari"
"http://id.loc.gov/vocabulary/iso639-2/nia","","","Nias","nias"
"http://id.loc.gov/vocabulary/iso639-2/nic","","","Niger-Kordofanian languages","nigéro-kordofaniennes, langues"
"http://id.loc.gov/vocabulary/iso639-2/niu","","","Niuean","niué"
"http://id.loc.gov/vocabulary/iso639-2/nno","","nn","Norwegian Nynorsk; Nynorsk, Norwegian","norvégien nynorsk; nynorsk, norvégien"
"http://id.loc.gov/vocabulary/iso639-2/nob","","nb","Bokmål, Norwegian; Norwegian Bokmål","norvégien bokmål"
"http://id.loc.gov/vocabulary/iso639-2/nog","","","Nogai","nogaï; nogay"
"http://id.loc.gov/vocabulary/iso639-2/non","","","Norse, Old","norrois, vieux"
"http://id.loc.gov/vocabulary/iso639-2/nor","","no","Norwegian","norvégien"
"http://id.loc.gov/vocabulary/iso639-2/nqo","","","N'Ko","n'ko"
